logFC,AveExpr,target,P.Value,adj.P.Val,B,label
-2.456718273,2.720443733,-4.891715657,6.83E-06,0.00348359,2.496227782,FCN3
-1.341210341,1.544678131,-4.878960182,7.17E-06,0.00362218,2.449978538,FOXF1
-1.171256086,1.111405483,-4.850148522,7.97E-06,0.003900587,2.345719531,FPR2
-1.26201373,1.359709865,-4.847445781,8.05E-06,0.003908307,2.335954128,SEMA3G
-1.728461452,2.46033408,-4.84505858,8.13E-06,0.003911712,2.327330945,RAMP3
-1.431883829,2.814601922,-4.840440531,8.27E-06,0.003932581,2.310655045,HIGD1B
-1.396547035,1.571683952,-4.836687481,8.38E-06,0.003934941,2.297108198,STXBP6
-1.474471712,2.487057072,-4.823115045,8.81E-06,0.004049617,2.248159163,HHIP
-1.419396125,2.236524368,-4.802895675,9.50E-06,0.004219763,2.175359062,HSPB6
-1.036701146,1.402520753,-4.799516442,9.62E-06,0.004226157,2.163206303,GIMAP1
-1.682934465,1.686262196,-4.796096833,9.74E-06,0.004248998,2.150912503,MS4A15
-1.461631612,2.042505922,-4.768763386,1.08E-05,0.00459971,2.052797507,SH2D3C
-1.003501218,1.474758058,-4.751986228,1.15E-05,0.004786428,1.99270898,NKD1
-1.524067353,4.415699911,-4.750379421,1.15E-05,0.004786428,1.98695948,PALM2AKAP2
-1.188089898,1.766970004,-4.741217093,1.19E-05,0.004883268,1.954192767,RAI2
-1.26571298,1.216760801,-4.736361129,1.21E-05,0.004937685,1.936839152,GRIA1
-1.221552429,1.234647398,-4.731371975,1.24E-05,0.004964422,1.919018599,APOBEC3A
-2.00440142,3.140570133,-4.731252731,1.24E-05,0.004964422,1.918592788,TCF21
1.410110091,2.348055881,4.716079997,1.31E-05,0.005179617,1.864455102,SPTBN2
-1.433059703,1.363081833,-4.700037638,1.39E-05,0.005421872,1.807307503,ADAMTS7P3
-1.931674714,3.951204296,-4.683846595,1.47E-05,0.005657897,1.749727832,FMO2
-1.284187316,1.740696358,-4.668044387,1.56E-05,0.005830351,1.693626143,NCKAP5
-1.649850161,2.519258333,-4.663475075,1.58E-05,0.005859062,1.677421591,GIMAP7
-1.094708265,2.485299971,-4.661299337,1.60E-05,0.005859062,1.669708366,FGD5
-1.173655664,2.519457676,-4.660003546,1.60E-05,0.005859062,1.665115504,JAM2
-1.00044244,1.042038439,-4.651687444,1.65E-05,0.005925029,1.635654741,CLEC1A
-1.185632979,1.889907589,-4.648778559,1.67E-05,0.005925029,1.625355905,PDGFB
-1.094841416,0.954163636,-4.641028339,1.72E-05,0.00605903,1.597932242,DNASE1L3
-1.390977263,1.744149565,-4.622212504,1.84E-05,0.006413185,1.531449616,CASP4LP
-1.445366451,2.06761152,-4.616523972,1.88E-05,0.006509555,1.511377031,SEMA5A
-1.582891838,5.923650991,-4.612266184,1.91E-05,0.006573319,1.496361185,ADIRF
-1.179176676,1.974128814,-4.608577144,1.93E-05,0.006624207,1.48335682,SHANK3
-1.154163449,1.17267731,-4.591425413,2.06E-05,0.007009267,1.422964283,CFP
-1.469883509,2.635021461,-4.589799303,2.07E-05,0.007011254,1.417244596,AKAP12
-1.121055602,1.19562826,-4.572702727,2.20E-05,0.007216519,1.357171877,CLEC4E
-1.303861189,1.750302318,-4.568187099,2.24E-05,0.007295771,1.341324421,PLA2G4C
-1.23261372,1.767713529,-4.561858967,2.29E-05,0.007345907,1.319129613,PELATON
-1.820596315,3.747615691,-4.558258688,2.32E-05,0.007367023,1.306509353,CAVIN2
-1.598323565,1.795041031,-4.558146844,2.32E-05,0.007367023,1.306117385,NKG7
-1.212842668,1.902093157,-4.555903883,2.34E-05,0.0073882,1.298257709,CYYR1
-1.262132867,1.584025113,-4.530656237,2.56E-05,0.007829952,1.209924571,ARHGEF15
-1.044196631,2.695710992,-4.524468937,2.62E-05,0.007942996,1.188316232,ARHGAP31
-1.7240712,4.010933152,-4.522562782,2.64E-05,0.007957841,1.18166234,NPNT
-1.070729126,1.172295086,-4.509103997,2.77E-05,0.008229337,1.134722965,LAMC3
-1.441058389,1.732145826,-4.503375138,2.83E-05,0.008326523,1.114765036,MCEMP1
-1.718003344,3.06608314,-4.502192375,2.84E-05,0.008326523,1.110646243,LDB2
-2.483282012,4.883112409,-4.501766526,2.84E-05,0.008326523,1.109163425,CAV1
-2.012588006,2.794234359,-4.486054429,3.01E-05,0.008683235,1.054505207,PPP1R14A
-1.201377001,1.356613551,-4.484120384,3.03E-05,0.008702168,1.047784149,SELP
1.293633085,2.376338618,4.482730568,3.04E-05,0.008704343,1.042955304,INAVA
-1.75151401,2.569523634,-4.478674317,3.09E-05,0.008771203,1.028866587,VIPR1
-1.879477262,3.897773412,-4.463605553,3.26E-05,0.009148241,0.976586981,COX7A1
-1.037191774,1.269421391,-4.449281204,3.43E-05,0.009496618,0.92697699,THSD1
-1.315117466,2.928275096,-4.447333986,3.45E-05,0.00951938,0.920239698,NOSTRIN
-1.671000603,2.641568852,-4.437272003,3.58E-05,0.009697434,0.885450796,PRELP
-1.29108507,1.663978702,-4.437086888,3.58E-05,0.009697434,0.884811165,MAL
-1.57219956,2.405731608,-4.425244937,3.74E-05,0.010070372,0.843923173,GIMAP6
-1.583273345,2.643059218,-4.418803024,3.82E-05,0.010213167,0.821705164,CAMK2N1
-2.117274046,2.580332149,-4.40371347,4.03E-05,0.010728811,0.769730051,FABP4
-1.636287684,2.161473471,-4.397220153,4.13E-05,0.010842851,0.747393803,TAMALIN
-1.294524035,1.482259598,-4.395365747,4.15E-05,0.010842851,0.741018145,FAM162B
-2.06049866,3.363904664,-4.394830349,4.16E-05,0.010842851,0.73917766,AOC3
-1.476194113,1.247065851,-4.390459394,4.23E-05,0.01084448,0.724156596,ANKRD1
-1.371684467,1.965965611,-4.390317208,4.23E-05,0.01084448,0.723668101,None
-1.284578949,1.89723686,-4.389787615,4.24E-05,0.01084448,0.721848706,RHOJ
-1.890117124,3.289352226,-4.387340672,4.27E-05,0.010847473,0.71344388,CCL21
-1.309167333,2.418574865,-4.375176262,4.46E-05,0.0111057,0.671699129,NES
-1.125891738,1.39149678,-4.369586316,4.55E-05,0.011223079,0.652537268,STARD8
-1.475478045,2.659323588,-4.364607029,4.63E-05,0.011376355,0.635479978,EDN1
-1.045426708,1.033683936,-4.360088947,4.71E-05,0.011466775,0.620011832,MASP1
-1.379402029,2.213151693,-4.358144907,4.74E-05,0.011499687,0.613358905,GIMAP8
-1.189073042,2.006679848,-4.355681638,4.78E-05,0.011508197,0.604931403,C1orf115
-1.64162329,4.365791622,-4.351286481,4.86E-05,0.011596301,0.589900895,LTBP4
-2.386557055,3.835385662,-4.348590901,4.90E-05,0.011661338,0.580686711,INMT
-1.534048623,1.92524055,-4.336278486,5.12E-05,0.012081212,0.538639725,FGFR4
-1.059351,1.574588639,-4.335776449,5.13E-05,0.012081212,0.536926663,NPR1
-1.520950927,1.782095995,-4.326971587,5.29E-05,0.012234771,0.506900307,COX4I2
-2.662195915,4.21651417,-4.326226939,5.30E-05,0.012234771,0.504362458,ADH1B
-1.035957158,1.261077716,-4.312467687,5.57E-05,0.012602467,0.45751288,SEMA6D
-1.263530637,2.506536487,-4.309649981,5.62E-05,0.01267154,0.447928961,CGNL1
-1.279768137,0.90077665,-4.308084267,5.65E-05,0.01267154,0.442604971,CHIAP2
-1.923600149,3.838763582,-4.30385275,5.74E-05,0.012745539,0.428221693,LAMP3
-1.593261424,1.839299696,-4.302963842,5.76E-05,0.012745539,0.425201223,ECSCR
-1.025092882,2.494856771,-4.301549791,5.79E-05,0.01276231,0.420397057,NOTCH4
-1.097966659,1.723861684,-4.298341077,5.85E-05,0.012860232,0.409498881,NRN1
1.055862717,2.251268182,4.291326107,6.00E-05,0.013098689,0.385688846,TMEM45B
-1.133239825,4.275345998,-4.291052374,6.00E-05,0.013098689,0.384760189,CRIM1
-1.31788271,1.505995318,-4.289752424,6.03E-05,0.013111423,0.38035048,FHL5
-1.330667475,1.946325605,-4.284341235,6.15E-05,0.013314985,0.362002598,SELL
-1.050649098,1.186004624,-4.272699415,6.40E-05,0.013820174,0.322572396,GSTM5
-1.399141462,1.888799599,-4.270644626,6.45E-05,0.013839819,0.315619198,GNG11
-2.119453702,3.923800886,-4.258244724,6.73E-05,0.014134901,0.273699218,FHL1
-2.084935797,3.138377566,-4.249589993,6.94E-05,0.014346274,0.244481228,RAMP2
2.091707998,2.496580009,4.248936354,6.96E-05,0.014346274,0.242275937,MUC5B
-1.203758058,1.841992,-4.248118387,6.98E-05,0.014346274,0.239516499,TBX5
-2.316808198,2.224942846,-4.242308791,7.12E-05,0.014541694,0.21992629,MT1M
